source_pc,topic,publisher_count,message_count,window_seconds,rate_hz,status,note
PC1,/vehicle/status/velocity_status,1,501,10.000,50.099,OBSERVED,bounded persistent reader
PC1,/planning/scenario_planning/trajectory,1,101,10.000,10.100,OBSERVED,bounded persistent reader
PC1,/control/command/control_cmd,1,329,10.000,32.899,OBSERVED,bounded persistent reader
PC3,/localization/kinematic_state,1,493,10.000,49.299,OBSERVED,bounded persistent reader
PC3,/sensing/lidar/top/pointcloud_before_sync,1,5,10.000,0.500,DEGRADED,not accepted
PC2,/perception/object_recognition/objects,1,90,10.000,9.000,OBSERVED,canonical PredictedObjects transport
PC2,/perception/object_recognition/detection/rois0,1,10,,6.574,BOUNDED_PASS,1440x930; zero invalid ROI
PC2,/perception/traffic_light_recognition/judged/traffic_signals,1,147,10.002,14.697,TRANSPORT_ONLY,all arrays fresh and empty
PC2,/perception/traffic_light_recognition/traffic_signals,1,148,10.002,14.797,TRANSPORT_ONLY,all arrays fresh and empty
