wall_time_ns,monotonic_time_ns,interface,rx_bytes,rx_packets,rx_errors,rx_dropped,rx_missed_errors,tx_bytes,tx_packets,tx_errors,tx_dropped,collisions
1786699479797487076,4336723642564,enp3s0,90512289175,69371553,0,0,0,87711740,545531,0,0,0
1786699480798315440,4337724470862,enp3s0,90553971769,69404314,0,0,0,87838116,546411,0,0,0
1786699481799117882,4338725273424,enp3s0,90595453861,69436299,0,0,0,87870970,546582,0,0,0
1786699482799997048,4339726152722,enp3s0,90636482097,69467788,0,0,0,87902268,546753,0,0,0
1786699483800869368,4340727024853,enp3s0,90680931769,69501714,0,0,0,87930242,546896,0,0,0
1786699484801701678,4341727857028,enp3s0,90721554161,69532896,0,0,0,87951744,546985,0,0,0
1786699485802452172,4342728607607,enp3s0,90764554845,69568840,0,0,0,88639324,549995,0,0,0
1786699486803237376,4343729392592,enp3s0,90807160589,69602048,0,0,0,88675650,550240,0,0,0
1786699487804041672,4344730197046,enp3s0,90849524951,69634555,0,0,0,88713258,550488,0,0,0
1786699488804786581,4345730941827,enp3s0,90891949447,69667199,0,0,0,88741442,550654,0,0,0
1786699489805509351,4346731665010,enp3s0,90932896987,69698851,0,0,0,88777580,550863,0,0,0
1786699490806366392,4347732521834,enp3s0,90974053329,69730432,0,0,0,88810398,551062,0,0,0
1786699491807061910,4348733217447,enp3s0,91015774413,69762397,0,0,0,88839922,551230,0,0,0
1786699492807869357,4349734024882,enp3s0,91059233983,69795763,0,0,0,88871426,551372,0,0,0
1786699493808667283,4350734822733,enp3s0,91101817815,69828551,0,0,0,88893502,551473,0,0,0
1786699494809488269,4351735643967,enp3s0,91145360695,69861754,0,0,0,88914634,551566,0,0,0
1786699495810319668,4352736474965,enp3s0,91187208919,69893780,0,0,0,88947048,551765,0,0,0
1786699496811196871,4353737352275,enp3s0,91229744637,69926375,0,0,0,88972442,551894,0,0,0
1786699497812033018,4354738188630,enp3s0,91273692507,69960101,0,0,0,89003492,552055,0,0,0
1786699498812901216,4355739056728,enp3s0,91315323499,69992004,0,0,0,89032380,552217,0,0,0
1786699499813632472,4356739787721,enp3s0,91356596547,70023581,0,0,0,89058512,552353,0,0,0
1786699500814387373,4357740543262,enp3s0,91399348409,70056347,0,0,0,89081180,552453,0,0,0
1786699501815298018,4358741453136,enp3s0,91440816199,70088028,0,0,0,89102146,552544,0,0,0
1786699502816194694,4359742350144,enp3s0,91483626827,70120701,0,0,0,89123112,552635,0,0,0
1786699503816946165,4360743101664,enp3s0,91526265783,70153314,0,0,0,89155116,552831,0,0,0
1786699504817814072,4361743971249,enp3s0,91567655231,70185188,0,0,0,89180828,552963,0,0,0
1786699505818645137,4362744800768,enp3s0,91608970621,70216924,0,0,0,89211666,553122,0,0,0
1786699506819500190,4363745655350,enp3s0,91651518309,70249509,0,0,0,89240444,553283,0,0,0
1786699507820300004,4364746455353,enp3s0,91693850515,70281869,0,0,0,89266258,553416,0,0,0
1786699508821078675,4365747234039,enp3s0,91736395313,70314467,0,0,0,89288290,553510,0,0,0
1786699509821796750,4366747952277,enp3s0,91777918103,70346216,0,0,0,89309786,553606,0,0,0
1786699510822806749,4367748962053,enp3s0,91818927505,70377601,0,0,0,89330646,553696,0,0,0
1786699511823886042,4368750042310,enp3s0,91860292565,70409295,0,0,0,89363028,553896,0,0,0
1786699512824792570,4369750948517,enp3s0,91904013131,70442693,0,0,0,89389066,554031,0,0,0
1786699513825620382,4370751775904,enp3s0,91943369565,70473278,0,0,0,89420434,554195,0,0,0
1786699514826652278,4371752807842,enp3s0,91988038501,70507343,0,0,0,89450446,554367,0,0,0
1786699515827683783,4372753839318,enp3s0,92028333161,70538150,0,0,0,89475306,554491,0,0,0
1786699516828577021,4373754733420,enp3s0,92070295593,70570357,0,0,0,89497550,554587,0,0,0
1786699517829415951,4374755571603,enp3s0,92113660711,70603478,0,0,0,89518940,554682,0,0,0
1786699518830191397,4375756347433,enp3s0,92155518569,70635458,0,0,0,89539588,554770,0,0,0
1786699519831202809,4376757358210,enp3s0,92197114431,70667290,0,0,0,89571896,554968,0,0,0
1786699520832013503,4377758169365,enp3s0,92238926883,70699386,0,0,0,89597396,555098,0,0,0
1786699521832800557,4378758956105,enp3s0,92280497487,70731425,0,0,0,89628658,555261,0,0,0
1786699522833671853,4379759827364,enp3s0,92323455543,70764233,0,0,0,89657872,555426,0,0,0
1786699523834526207,4380760681951,enp3s0,92365792427,70796709,0,0,0,89683156,555554,0,0,0
1786699524835290774,4381761446144,enp3s0,92407962341,70828941,0,0,0,89704870,555645,0,0,0
1786699525835977755,4382762133263,enp3s0,92448625895,70860064,0,0,0,89726154,555739,0,0,0
