pc4_record_ns,pc4_record_kst,pc4_db_index,pc4_header_ns,pc4_frame,pc4_uuid_hex,pc4_label_id,pc4_label,pc4_label_probability,pc4_x,pc4_y,pc4_z,pc4_existence_probability,tracker_record_ns,tracker_record_delta_ms,tracker_object_count,tracker_exact_uuid_match,tracker_nearest_xy_distance_m,tracker_nearest_uuid_hex,tracker_nearest_label_id,tracker_nearest_label,tracker_nearest_x,tracker_nearest_y,tracker_nearest_z,canonical_record_ns,canonical_record_delta_ms,canonical_object_count,canonical_exact_uuid_match,canonical_nearest_xy_distance_m,canonical_nearest_uuid_hex,canonical_nearest_label_id,canonical_nearest_label,canonical_nearest_x,canonical_nearest_y,canonical_nearest_z,ego_record_ns,ego_record_delta_ms,ego_x,ego_y,ego_z,ego_pc4_xy_distance_m,velocity_record_ns,velocity_record_delta_ms,vehicle_longitudinal_velocity_mps,control_record_ns,control_record_delta_ms,control_target_velocity_mps,control_target_acceleration_mps2
1786699464332126008,2026-08-14T18:24:24.332126+09:00,8,1786699464269817939,map,55969a6b32a259b1a7094c1e6f5c7c2e,0,UNKNOWN,1.0,52.666250645976845,-124.98795361216594,-15.444366935660192,0.0,1786699464362310232,30.184224,14,False,5.931298096064674,ffaa6c0e2b3f100643c054f1d81cbc99,1,CAR,49.261463412460074,-120.13123445219162,-13.726877624641265,1786699464362723245,30.597237,14,False,5.931298096064674,ffaa6c0e2b3f100643c054f1d81cbc99,1,CAR,49.261463412460074,-120.13123445219162,-13.726877624641265,1786699464334080733,1.954725,59.81554256559582,-124.9376633316997,-14.87501783302133,7.149468795948307,1786699464339067017,6.941009,0.0520833320915699,1786699464329216357,-2.909651,0.0,-1.5
1786699464435117337,2026-08-14T18:24:24.435117+09:00,8,1786699464369817940,map,55969a6b32a259b1a7094c1e6f5c7c2e,0,UNKNOWN,1.0,52.65969664004652,-124.97667319677568,-15.446731526366223,0.0,1786699464446342301,11.224964,14,False,5.9257097003129315,ffaa6c0e2b3f100643c054f1d81cbc99,1,CAR,49.26538527802549,-120.11944293354564,-13.728483101905036,1786699464446408857,11.29152,14,False,5.9257097003129315,ffaa6c0e2b3f100643c054f1d81cbc99,1,CAR,49.26538527802549,-120.11944293354564,-13.728483101905036,1786699464431810756,-3.306581,59.809147544738295,-124.93754756444015,-14.875215993543584,7.1495579621193155,1786699464438899647,3.78231,0.0520833320915699,1786699464450500262,15.382925,0.0,-1.5
1786699464534227471,2026-08-14T18:24:24.534227+09:00,8,1786699464469817942,map,55969a6b32a259b1a7094c1e6f5c7c2e,0,UNKNOWN,1.0,52.64803726760145,-124.94560898100917,-15.469563409547542,0.0,1786699464542077872,7.850401,14,False,5.891370262759397,ffaa6c0e2b3f100643c054f1d81cbc99,1,CAR,49.26344193764979,-120.12349761508293,-13.729840326401584,1786699464542195748,7.968277,14,False,5.891370262759397,ffaa6c0e2b3f100643c054f1d81cbc99,1,CAR,49.26344193764979,-120.12349761508293,-13.729840326401584,1786699464534211200,-0.016271,59.80477379437481,-124.93746646805964,-14.87468878581598,7.156741158807486,1786699464538922196,4.694725,0.0607638880610466,1786699464538701263,4.473792,0.0,-1.5
1786699465734837202,2026-08-14T18:24:25.734837+09:00,8,1786699465669817960,map,22d5c349945d592cafd60df5d96caceb,0,UNKNOWN,1.0,52.677326597569355,-124.98596726369239,-15.45569963913557,0.0,1786699465744852029,10.014827,12,False,5.939961728667805,ffaa6c0e2b3f100643c054f1d81cbc99,1,CAR,49.26276912485847,-120.1255205143089,-13.752291393999982,1786699465744873857,10.036655,12,False,5.939961728667805,ffaa6c0e2b3f100643c054f1d81cbc99,1,CAR,49.26276912485847,-120.1255205143089,-13.752291393999982,1786699465736097462,1.26026,59.56560114252523,-124.93289189847867,-14.868705588839797,6.888479019426542,1786699465739220699,4.383497,0.3645833432674408,1786699465740024566,5.187364,0.0,-1.5
1786699465818303806,2026-08-14T18:24:25.818304+09:00,8,1786699465769817961,map,22d5c349945d592cafd60df5d96caceb,0,UNKNOWN,1.0,52.67765944937918,-124.94868857803833,-15.477711753177122,0.0,1786699465812977279,-5.326527,12,False,5.918651997051102,ffaa6c0e2b3f100643c054f1d81cbc99,1,CAR,49.265488841143316,-120.1126226973365,-13.753297879196733,1786699465818225097,-0.078709,12,False,5.918651997051102,ffaa6c0e2b3f100643c054f1d81cbc99,1,CAR,49.265488841143316,-120.1126226973365,-13.753297879196733,1786699465819362004,1.058198,59.526089663740045,-124.9321242367382,-14.86974679813301,6.848450246469893,1786699465820289932,1.986126,0.390625,1786699465830487819,12.184013,0.0,-1.5
1786699465926662840,2026-08-14T18:24:25.926663+09:00,8,1786699465869817963,map,22d5c349945d592cafd60df5d96caceb,0,UNKNOWN,1.0,52.67565073609926,-124.98712648129457,-15.464573246348786,0.0,1786699465913539629,-13.123211,12,False,5.950651831750841,ffaa6c0e2b3f100643c054f1d81cbc99,1,CAR,49.264131415973594,-120.11149389145261,-13.752069094324263,1786699465915083896,-11.578944,12,False,5.950651831750841,ffaa6c0e2b3f100643c054f1d81cbc99,1,CAR,49.264131415973594,-120.11149389145261,-13.752069094324263,1786699465926591023,-0.071817,59.48332290646793,-124.93129063280962,-14.867210551796617,6.8079011465493675,1786699465919291664,-7.371176,0.4166666567325592,1786699465918475557,-8.187283,0.0,-1.5
1786699466025993799,2026-08-14T18:24:26.025994+09:00,8,1786699465969817964,map,22d5c349945d592cafd60df5d96caceb,0,UNKNOWN,1.0,52.659068769508316,-124.98693036837233,-15.485859867719192,0.0,1786699466005512746,-20.481053,13,False,5.959646741504937,ffaa6c0e2b3f100643c054f1d81cbc99,1,CAR,49.26326766413074,-120.08938770533744,-13.747745982353866,1786699466015203129,-10.79067,13,False,5.959646741504937,ffaa6c0e2b3f100643c054f1d81cbc99,1,CAR,49.26326766413074,-120.08938770533744,-13.747745982353866,1786699466025969224,-0.024575,59.4402422936466,-124.9304630111506,-14.86476875133237,6.781408624091724,1786699466019266476,-6.727323,0.4253472089767456,1786699466039166008,13.172209,0.0,-1.5
1786699466137863942,2026-08-14T18:24:26.137864+09:00,8,1786699466069817966,map,22d5c349945d592cafd60df5d96caceb,0,UNKNOWN,1.0,52.62360588608198,-125.00630643897883,-15.471616891370687,0.0,1786699466116530783,-21.333159,12,False,5.965124793832076,ffaa6c0e2b3f100643c054f1d81cbc99,1,CAR,49.25890893510122,-120.08070716233736,-13.752026483949756,1786699466118380760,-19.483182,12,False,5.965124793832076,ffaa6c0e2b3f100643c054f1d81cbc99,1,CAR,49.25890893510122,-120.08070716233736,-13.752026483949756,1786699466129088871,-8.775071,59.398964615096624,-124.92968931459303,-14.862486820601795,6.775791916121985,1786699466139201320,1.337378,0.4253472089767456,1786699466133745810,-4.118132,0.0,-1.5
1786699466237322543,2026-08-14T18:24:26.237323+09:00,8,1786699466169817967,map,22d5c349945d592cafd60df5d96caceb,0,UNKNOWN,1.0,52.6211270028734,-125.01712805364475,-15.492175345866126,0.0,1786699466227278612,-10.043931,12,False,5.976739840255617,ffaa6c0e2b3f100643c054f1d81cbc99,1,CAR,49.25892516877459,-120.07577014868772,-13.752026483949756,1786699466236840609,-0.481934,12,False,5.976739840255617,ffaa6c0e2b3f100643c054f1d81cbc99,1,CAR,49.25892516877459,-120.07577014868772,-13.752026483949756,1786699466229191110,-8.131433,59.35669763949464,-124.92888844992699,-14.863360750379167,6.736148604995181,1786699466239255276,1.932733,0.4253472089767456,1786699466249749013,12.42647,0.0,-1.5
1786699466332483990,2026-08-14T18:24:26.332484+09:00,8,1786699466269817969,map,22d5c349945d592cafd60df5d96caceb,0,UNKNOWN,1.0,52.626450962841126,-124.99981045872795,-15.489806661850432,0.0,1786699466288795917,-43.688073,11,False,5.965972716861589,ffaa6c0e2b3f100643c054f1d81cbc99,1,CAR,49.25486723022534,-120.07789481618617,-13.759408868703655,1786699466310856654,-21.627336,11,False,5.965972716861589,ffaa6c0e2b3f100643c054f1d81cbc99,1,CAR,49.25486723022534,-120.07789481618617,-13.759408868703655,1786699466332507988,0.023998,59.313485356410794,-124.92808144245484,-14.862983066510886,6.6874190860569795,1786699466339409608,6.925618,0.4253472089767456,1786699466338207956,5.723966,0.0,-1.5
